service_request_id,requested_datetime,service_name,agency_responsible,zipcode,status,days_to_close,lat,lon
1000070,2023-01-01 06:55:00,Pothole Repair,Streets Department,19107,Closed,23.0,39.81778,-75.18417
1000247,2023-01-03 06:03:00,Traffic Signal Emergency,Parks & Recreation,19146,Open,8.59,39.83715,-75.13031
1000319,2023-01-07 21:47:00,Illegal Dumping,License & Inspections,19147,Closed,26.96,39.94071,-75.2002
1000085,2023-01-07 23:43:00,Illegal Dumping,Streets Department,19149,Closed,14.48,39.98793,-75.12461
1000166,2023-01-08 07:31:00,Maintenance Residential or Commercial,Streets Department,19119,Closed,14.97,39.99522,-75.09348
1000216,2023-01-08 19:10:00,Rubbish Collection,Parks & Recreation,19121,Open,14.53,39.94568,-75.07213
1000018,2023-01-10 06:23:00,Rubbish Collection,License & Inspections,19132,Open,3.28,39.94461,-75.27568
1000090,2023-01-11 12:15:00,Illegal Dumping,Parks & Recreation,19102,Open,6.88,39.88903,-75.19665
1000298,2023-01-12 19:16:00,Graffiti Removal,Police Department,19125,Open,11.91,40.03333,-75.10398
1000228,2023-01-13 01:11:00,Illegal Dumping,Streets Department,19145,Closed,17.27,39.94544,-75.10476
1000151,2023-01-16 23:14:00,Rubbish Collection,License & Inspections,19147,Closed,23.6,39.97709,-75.16578
1000266,2023-01-18 06:03:00,Graffiti Removal,Parks & Recreation,19104,Closed,29.72,39.9316,-75.19996
1000099,2023-01-18 10:47:00,Graffiti Removal,Parks & Recreation,19119,Closed,5.46,39.96844,-75.16341
1000179,2023-01-19 07:41:00,Rubbish Collection,License & Inspections,19102,Closed,4.72,39.91379,-75.17008
1000270,2023-01-21 13:55:00,Rubbish Collection,Parks & Recreation,19148,Closed,16.56,39.89594,-75.11601
1000214,2023-01-22 04:27:00,Abandoned Vehicle,License & Inspections,19119,Closed,17.36,39.95046,-75.27046
1000071,2023-01-26 05:55:00,Graffiti Removal,Police Department,19132,Closed,13.04,39.95994,-75.14313
1000108,2023-01-28 19:23:00,Illegal Dumping,Police Department,19121,Closed,19.34,39.88997,-75.21781
1000241,2023-01-30 22:35:00,Abandoned Vehicle,Parks & Recreation,19106,Closed,19.82,39.98055,-75.1758
1000180,2023-01-31 17:43:00,Rubbish Collection,Streets Department,19123,Closed,17.88,39.92168,-75.13506
1000088,2023-02-01 00:30:00,Pothole Repair,Streets Department,19123,Closed,10.92,39.94474,-75.19784
1000185,2023-02-03 09:43:00,Graffiti Removal,Parks & Recreation,19121,Open,12.12,39.95443,-75.16157
1000066,2023-02-08 00:43:00,Abandoned Vehicle,Streets Department,19123,Open,2.41,39.98959,-75.16503
1000251,2023-02-10 20:17:00,Illegal Dumping,Parks & Recreation,19130,Closed,6.97,40.01119,-75.21454
1000250,2023-02-11 00:44:00,Illegal Dumping,Parks & Recreation,19106,Closed,6.86,39.97087,-75.13185
1000306,2023-02-11 03:56:00,Pothole Repair,Police Department,19130,Closed,12.13,40.01897,-75.12522
1000311,2023-02-12 12:33:00,Abandoned Vehicle,Police Department,19123,Open,5.7,40.00347,-75.1375
1000268,2023-02-15 16:02:00,Illegal Dumping,Streets Department,19147,Closed,10.47,39.93426,-75.21873
1000133,2023-02-16 06:57:00,Pothole Repair,Police Department,19132,Closed,5.79,39.96188,-75.0793
1000393,2023-02-17 18:10:00,Illegal Dumping,Police Department,19121,Closed,20.31,39.96463,-75.1388
1000254,2023-02-18 22:14:00,Abandoned Vehicle,Streets Department,19149,In Progress,6.6,39.87693,-75.14749
1000020,2023-02-20 11:02:00,Pothole Repair,Streets Department,19132,Closed,8.88,39.92387,-75.20893
1000333,2023-02-26 06:07:00,Maintenance Residential or Commercial,Police Department,19139,Closed,6.09,39.93415,-75.21115
1000106,2023-03-05 06:36:00,Maintenance Residential or Commercial,Parks & Recreation,19143,Closed,6.14,39.9565,-75.1685
1000394,2023-03-06 09:34:00,Traffic Signal Emergency,Streets Department,19139,Closed,11.19,39.96717,-75.05444
1000109,2023-03-07 05:38:00,Illegal Dumping,Parks & Recreation,19107,Closed,18.75,40.01735,-75.05808
1000260,2023-03-08 04:02:00,Street Light Outage,Parks & Recreation,19104,Open,13.68,39.91441,-75.21716
1000398,2023-03-09 22:13:00,Pothole Repair,License & Inspections,19102,Closed,4.16,39.92351,-75.10153
1000207,2023-03-13 06:28:00,Street Light Outage,Parks & Recreation,19130,Closed,9.14,39.9683,-75.17528
1000341,2023-03-13 22:38:00,Graffiti Removal,Parks & Recreation,19107,Open,40.97,39.95585,-75.22845
1000386,2023-03-14 18:45:00,Graffiti Removal,Streets Department,19107,Closed,8.49,39.95146,-75.24052
1000396,2023-03-16 11:09:00,Traffic Signal Emergency,License & Inspections,19132,Closed,49.2,39.91335,-75.04153
1000164,2023-03-16 23:54:00,Graffiti Removal,Parks & Recreation,19145,Closed,6.44,39.99471,-75.20678
1000095,2023-03-18 17:12:00,Rubbish Collection,Streets Department,19121,In Progress,18.22,39.92238,-75.08082
1000084,2023-03-19 07:18:00,Rubbish Collection,License & Inspections,19130,Closed,6.02,39.90925,-75.14977
1000182,2023-03-24 23:47:00,Abandoned Vehicle,Streets Department,19123,Closed,9.14,39.89666,-75.05566
1000296,2023-03-25 14:09:00,Street Light Outage,Streets Department,19146,Closed,3.06,39.92619,-75.12735
1000189,2023-03-27 02:28:00,Illegal Dumping,Parks & Recreation,19102,Open,3.09,39.95583,-75.16293
