RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30
61000,1,19102,zip,Pennsylvania,PA,Philadelphia,Philadelphia-Camden-Wilmington,Philadelphia County,368063.0,368953.0,369938.0,370891.0,371875.0,372829.0,373813.0,374798.0,375751.0,376736.0,377689.0,378674.0,379659.0,380580.0,381565.0,382518.0,383503.0,384456.0,385441.0,386426.0,387379.0,388364.0,389317.0,390302.0,391287.0,392176.0,393161.0,394114.0,395099.0,396052.0,397037.0,398022.0,398975.0,399960.0,400913.0,401898.0,402883.0,403772.0,404757.0,405710.0,406695.0,407648.0,408633.0,409618.0,410571.0,411556.0,412509.0,413494.0,414478.0,415368.0,416353.0,417306.0,418291.0,419244.0,420229.0,421214.0,422167.0,423151.0,424105.0,425089.0,426074.0,426996.0,427980.0,429355.0,430775.0,432149.0,433570.0,434990.0,436364.0,437785.0,439159.0,440579.0,441999.0,443282.0,444702.0,446077.0,447497.0,448871.0,450292.0,451712.0,453086.0,454506.0,455881.0,457301.0,458721.0,460004.0,461424.0,462551.0,463714.0,464841.0,466004.0,467168.0,468295.0,469458.0,470585.0,471748.0,472912.0,473963.0,475127.0,476253.0,477417.0,478544.0
61001,2,19103,zip,Pennsylvania,PA,Philadelphia,Philadelphia-Camden-Wilmington,Philadelphia County,360008.0,360878.0,361842.0,362774.0,363737.0,364669.0,365633.0,366596.0,367528.0,368491.0,369424.0,370387.0,371350.0,372251.0,373215.0,374147.0,375110.0,376042.0,377006.0,377969.0,378901.0,379865.0,380797.0,381760.0,382723.0,383593.0,384557.0,385489.0,386452.0,387385.0,388348.0,389311.0,390243.0,391207.0,392139.0,393102.0,394065.0,394936.0,395899.0,396831.0,397794.0,398727.0,399690.0,400653.0,401585.0,402549.0,403481.0,404444.0,405408.0,406278.0,407241.0,408173.0,409136.0,410069.0,411032.0,411995.0,412928.0,413891.0,414823.0,415786.0,416750.0,417651.0,418614.0,419925.0,421279.0,422590.0,423945.0,425299.0,426610.0,427964.0,429275.0,430629.0,431984.0,433207.0,434562.0,435873.0,437227.0,438538.0,439892.0,441247.0,442557.0,443912.0,445223.0,446577.0,447932.0,449155.0,450509.0,451611.0,452749.0,453851.0,454989.0,456128.0,457229.0,458368.0,459469.0,460608.0,461746.0,462774.0,463912.0,465014.0,466152.0,467254.0
61002,3,19104,zip,Pennsylvania,PA,Philadelphia,Philadelphia-Camden-Wilmington,Philadelphia County,152729.0,153098.0,153506.0,153902.0,154310.0,154706.0,155115.0,155523.0,155919.0,156327.0,156723.0,157132.0,157540.0,157923.0,158331.0,158727.0,159135.0,159531.0,159940.0,160348.0,160744.0,161152.0,161548.0,161957.0,162365.0,162734.0,163143.0,163538.0,163947.0,164343.0,164751.0,165160.0,165555.0,165964.0,166360.0,166768.0,167177.0,167546.0,167955.0,168350.0,168759.0,169154.0,169563.0,169972.0,170367.0,170776.0,171171.0,171580.0,171989.0,172358.0,172766.0,173162.0,173571.0,173966.0,174375.0,174783.0,175179.0,175588.0,175983.0,176392.0,176800.0,177183.0,177591.0,179611.0,181699.0,183719.0,185806.0,187894.0,189914.0,192001.0,194021.0,196109.0,198196.0,200082.0,202169.0,204189.0,206277.0,208297.0,210384.0,212471.0,214492.0,216579.0,218599.0,220687.0,222774.0,224659.0,226747.0,227214.0,227697.0,228164.0,228647.0,229130.0,229598.0,230081.0,230548.0,231031.0,231514.0,231950.0,232433.0,232900.0,233383.0,233850.0
61003,4,19106,zip,Pennsylvania,PA,Philadelphia,Philadelphia-Camden-Wilmington,Philadelphia County,386011.0,386944.0,387977.0,388976.0,390009.0,391009.0,392041.0,393074.0,394074.0,395107.0,396106.0,397139.0,398172.0,399138.0,400171.0,401171.0,402204.0,403203.0,404236.0,405269.0,406268.0,407301.0,408301.0,409334.0,410367.0,411300.0,412332.0,413332.0,414365.0,415364.0,416397.0,417430.0,418430.0,419463.0,420462.0,421495.0,422528.0,423461.0,424494.0,425493.0,426526.0,427526.0,428559.0,429592.0,430591.0,431624.0,432624.0,433656.0,434689.0,435622.0,436655.0,437655.0,438688.0,439687.0,440720.0,441753.0,442752.0,443785.0,444785.0,445818.0,446851.0,447817.0,448850.0,450518.0,452241.0,453909.0,455633.0,457357.0,459025.0,460748.0,462417.0,464140.0,465864.0,467421.0,469144.0,470812.0,472536.0,474204.0,475928.0,477651.0,479319.0,481043.0,482711.0,484435.0,486158.0,487715.0,489439.0,490620.0,491841.0,493022.0,494242.0,495463.0,496644.0,497865.0,499046.0,500266.0,501487.0,502589.0,503810.0,504991.0,506212.0,507393.0
61004,5,19107,zip,Pennsylvania,PA,Philadelphia,Philadelphia-Camden-Wilmington,Philadelphia County,382178.0,383102.0,384125.0,385114.0,386137.0,387126.0,388149.0,389172.0,390161.0,391184.0,392174.0,393196.0,394219.0,395175.0,396198.0,397188.0,398210.0,399200.0,400223.0,401245.0,402235.0,403258.0,404247.0,405270.0,406292.0,407216.0,408239.0,409228.0,410251.0,411241.0,412263.0,413286.0,414275.0,415298.0,416288.0,417310.0,418333.0,419257.0,420279.0,421269.0,422291.0,423281.0,424304.0,425326.0,426316.0,427339.0,428328.0,429351.0,430374.0,431297.0,432320.0,433309.0,434332.0,435322.0,436344.0,437367.0,438357.0,439379.0,440369.0,441391.0,442414.0,443371.0,444393.0,445930.0,447518.0,449054.0,450642.0,452229.0,453766.0,455354.0,456890.0,458478.0,460066.0,461500.0,463087.0,464624.0,466212.0,467748.0,469336.0,470923.0,472460.0,474048.0,475584.0,477172.0,478760.0,480194.0,481781.0,482951.0,484159.0,485329.0,486537.0,487746.0,488915.0,490123.0,491293.0,492501.0,493710.0,494801.0,496010.0,497179.0,498388.0,499557.0
61005,6,19109,zip,Pennsylvania,PA,Philadelphia,Philadelphia-Camden-Wilmington,Philadelphia County,382401.0,383325.0,384348.0,385338.0,386361.0,387352.0,388375.0,389398.0,390388.0,391412.0,392402.0,393425.0,394448.0,395405.0,396429.0,397419.0,398442.0,399432.0,400455.0,401479.0,402469.0,403492.0,404482.0,405506.0,406529.0,407453.0,408476.0,409466.0,410490.0,411480.0,412503.0,413526.0,414516.0,415540.0,416530.0,417553.0,418576.0,419501.0,420524.0,421514.0,422537.0,423527.0,424551.0,425574.0,426564.0,427587.0,428577.0,429601.0,430624.0,431548.0,432571.0,433562.0,434585.0,435575.0,436598.0,437621.0,438612.0,439635.0,440625.0,441648.0,442671.0,443629.0,444652.0,446283.0,447969.0,449601.0,451286.0,452972.0,454604.0,456289.0,457921.0,459607.0,461292.0,462815.0,464501.0,466132.0,467818.0,469449.0,471135.0,472821.0,474452.0,476138.0,477770.0,479455.0,481141.0,482664.0,484350.0,485520.0,486729.0,487899.0,489108.0,490317.0,491488.0,492697.0,493867.0,495076.0,496285.0,497377.0,498586.0,499757.0,500966.0,502136.0
61006,7,19111,zip,Pennsylvania,PA,Philadelphia,Philadelphia-Camden-Wilmington,Philadelphia County,185184.0,185631.0,186127.0,186606.0,187102.0,187581.0,188077.0,188572.0,189052.0,189547.0,190027.0,190523.0,191018.0,191482.0,191977.0,192457.0,192952.0,193432.0,193927.0,194423.0,194902.0,195398.0,195877.0,196373.0,196868.0,197316.0,197811.0,198291.0,198786.0,199266.0,199761.0,200257.0,200736.0,201232.0,201711.0,202207.0,202702.0,203150.0,203646.0,204125.0,204621.0,205100.0,205596.0,206091.0,206571.0,207066.0,207546.0,208041.0,208537.0,208984.0,209480.0,209959.0,210455.0,210934.0,211430.0,211925.0,212405.0,212900.0,213380.0,213875.0,214371.0,214834.0,215330.0,217956.0,220669.0,223295.0,226009.0,228722.0,231348.0,234062.0,236688.0,239401.0,242115.0,244565.0,247279.0,249905.0,252618.0,255244.0,257958.0,260671.0,263297.0,266011.0,268636.0,271350.0,274063.0,276514.0,279228.0,279794.0,280380.0,280947.0,281532.0,282118.0,282684.0,283270.0,283837.0,284422.0,285008.0,285537.0,286122.0,286689.0,287274.0,287841.0
61007,8,19114,zip,Pennsylvania,PA,Philadelphia,Philadelphia-Camden-Wilmington,Philadelphia County,178433.0,178864.0,179342.0,179804.0,180281.0,180743.0,181221.0,181698.0,182160.0,182638.0,183100.0,183577.0,184055.0,184501.0,184979.0,185441.0,185918.0,186380.0,186858.0,187335.0,187797.0,188275.0,188737.0,189214.0,189692.0,190123.0,190600.0,191062.0,191540.0,192002.0,192479.0,192957.0,193419.0,193896.0,194358.0,194836.0,195313.0,195744.0,196222.0,196684.0,197161.0,197623.0,198101.0,198578.0,199040.0,199518.0,199980.0,200457.0,200935.0,201366.0,201843.0,202305.0,202783.0,203245.0,203722.0,204200.0,204662.0,205139.0,205601.0,206079.0,206556.0,207003.0,207480.0,210097.0,212800.0,215416.0,218120.0,220823.0,223439.0,226143.0,228759.0,231463.0,234166.0,236608.0,239311.0,241928.0,244631.0,247247.0,249951.0,252654.0,255271.0,257974.0,260590.0,263294.0,265997.0,268439.0,271142.0,271688.0,272253.0,272799.0,273363.0,273927.0,274473.0,275037.0,275583.0,276147.0,276712.0,277221.0,277785.0,278331.0,278896.0,279442.0
61008,9,19115,zip,Pennsylvania,PA,Philadelphia,Philadelphia-Camden-Wilmington,Philadelphia County,182747.0,183189.0,183678.0,184151.0,184640.0,185113.0,185602.0,186091.0,186564.0,187053.0,187526.0,188015.0,188504.0,188962.0,189451.0,189924.0,190413.0,190886.0,191375.0,191864.0,192337.0,192826.0,193300.0,193789.0,194278.0,194719.0,195208.0,195681.0,196170.0,196644.0,197133.0,197622.0,198095.0,198584.0,199057.0,199546.0,200035.0,200477.0,200966.0,201439.0,201928.0,202401.0,202890.0,203379.0,203852.0,204341.0,204815.0,205304.0,205793.0,206234.0,206723.0,207196.0,207685.0,208159.0,208648.0,209137.0,209610.0,210099.0,210572.0,211061.0,211550.0,212007.0,212496.0,214931.0,217447.0,219882.0,222397.0,224913.0,227348.0,229864.0,232299.0,234814.0,237330.0,239603.0,242118.0,244553.0,247069.0,249504.0,252020.0,254535.0,256970.0,259486.0,261921.0,264436.0,266952.0,269225.0,271740.0,272300.0,272878.0,273437.0,274015.0,274592.0,275152.0,275729.0,276289.0,276866.0,277444.0,277966.0,278544.0,279103.0,279681.0,280240.0
61009,10,19116,zip,Pennsylvania,PA,Philadelphia,Philadelphia-Camden-Wilmington,Philadelphia County,147814.0,148172.0,148567.0,148950.0,149345.0,149728.0,150124.0,150519.0,150902.0,151297.0,151680.0,152076.0,152471.0,152841.0,153237.0,153620.0,154015.0,154398.0,154793.0,155189.0,155572.0,155967.0,156350.0,156745.0,157141.0,157498.0,157894.0,158276.0,158672.0,159055.0,159450.0,159846.0,160229.0,160624.0,161007.0,161402.0,161798.0,162155.0,162551.0,162933.0,163329.0,163712.0,164107.0,164503.0,164885.0,165281.0,165664.0,166059.0,166455.0,166812.0,167207.0,167590.0,167986.0,168369.0,168764.0,169160.0,169542.0,169938.0,170321.0,170716.0,171112.0,171482.0,171877.0,173693.0,175569.0,177385.0,179262.0,181138.0,182954.0,184831.0,186646.0,188523.0,190399.0,192094.0,193970.0,195786.0,197663.0,199479.0,201355.0,203232.0,205047.0,206924.0,208740.0,210616.0,212493.0,214187.0,216064.0,216516.0,216984.0,217436.0,217903.0,218371.0,218823.0,219290.0,219743.0,220210.0,220677.0,221100.0,221567.0,222019.0,222487.0,222939.0
